Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346.0,325,12,77556.46,1,3,3,133,At risk
12347.0,2,8,5633.32,3,3,3,333,Champions
12348.0,75,5,2019.4,2,2,3,223,Others
12349.0,18,4,4428.69,3,2,3,323,Potential loyalists
12350.0,310,1,334.4,1,1,1,111,Hibernating / lost
12351.0,375,1,300.93,1,1,1,111,Hibernating / lost
12352.0,36,10,2849.84,3,3,3,333,Champions
12353.0,204,2,406.76,2,1,1,211,Others
12354.0,232,1,1079.4,2,1,2,212,Others
12355.0,214,2,947.61,2,1,2,212,Others
12356.0,22,6,6373.68,3,3,3,333,Champions
12357.0,33,3,18287.66,3,2,3,323,Potential loyalists
12358.0,1,5,3887.07,3,2,3,323,Potential loyalists
12359.0,57,10,8935.94,2,3,3,233,Loyal customers
12360.0,52,8,4252.89,2,3,3,233,Loyal customers
12361.0,287,4,511.25,1,2,2,122,At risk
12362.0,3,11,5356.23,3,3,3,333,Champions
12363.0,109,2,552.0,2,1,2,212,Others
12364.0,7,4,1313.1,3,2,2,322,Potential loyalists
12365.0,291,2,641.38,1,1,2,112,Hibernating / lost
12366.0,633,1,500.24,1,1,2,112,Hibernating / lost
12367.0,4,1,168.9,3,1,1,311,New customers
12368.0,628,1,917.6999999999999,1,1,2,112,Hibernating / lost
12369.0,413,3,1791.15,1,2,3,123,At risk
12370.0,51,7,4320.31,2,3,3,233,Loyal customers
12371.0,44,5,4067.38,2,2,3,223,Others
12372.0,71,3,1298.04,2,2,2,222,Others
12373.0,311,3,1127.65,1,2,2,122,At risk
12374.0,25,4,2989.2200000000003,3,2,3,323,Potential loyalists
12375.0,10,2,457.5,3,1,1,311,New customers
12376.0,389,2,503.15,1,1,2,112,Hibernating / lost
12377.0,315,4,3426.32,1,2,3,123,At risk
12378.0,129,2,5416.32,2,1,3,213,Others
12379.0,81,4,1620.22,2,2,2,222,Others
12380.0,21,11,9676.300000000001,3,3,3,333,Champions
12381.0,4,5,1845.31,3,2,3,323,Potential loyalists
12383.0,184,5,1850.56,2,2,3,223,Others
12384.0,28,2,585.27,3,1,2,312,Potential loyalists
12385.0,379,1,1938.4,1,1,3,113,Hibernating / lost
12386.0,337,2,660.8,1,1,2,112,Hibernating / lost
12387.0,415,1,143.94,1,1,1,111,Hibernating / lost
12388.0,15,8,3901.11,3,3,3,333,Champions
12389.0,402,3,1433.33,1,2,2,122,At risk
12390.0,79,1,549.84,2,1,2,212,Others
12391.0,21,6,2773.42,3,3,3,333,Champions
12392.0,591,1,234.75000000000003,1,1,1,111,Hibernating / lost
12393.0,72,6,2399.4500000000003,2,3,3,233,Loyal customers
12394.0,63,2,1272.48,2,1,2,212,Others
12395.0,19,15,5067.27,3,3,3,333,Champions
12396.0,674,1,931.43,1,1,2,112,Hibernating / lost
12397.0,35,2,2409.9,3,1,3,313,Potential loyalists
12398.0,45,1,1635.6599999999999,2,1,3,213,Others
12399.0,119,7,1962.3,2,3,3,233,Loyal customers
12400.0,414,1,205.25,1,1,1,111,Hibernating / lost
12401.0,303,1,84.3,1,1,1,111,Hibernating / lost
12402.0,323,6,1256.9,1,3,2,132,At risk
12403.0,49,2,1019.36,2,1,2,212,Others
12404.0,682,1,63.24,1,1,1,111,Hibernating / lost
12405.0,148,1,1710.39,2,1,3,213,Others
12406.0,22,5,6390.36,3,2,3,323,Potential loyalists
12407.0,49,5,1708.1200000000001,2,2,3,223,Others
12408.0,32,8,4340.7699999999995,3,3,3,333,Champions
12409.0,78,7,23419.29,2,3,3,233,Loyal customers
12410.0,308,3,1013.71,1,2,2,122,At risk
12411.0,409,1,346.9,1,1,1,111,Hibernating / lost
12412.0,74,6,2596.93,2,3,3,233,Loyal customers
12413.0,66,4,999.45,2,2,2,222,Others
12414.0,217,6,952.41,2,3,2,232,Loyal customers
12415.0,24,28,144458.37,3,3,3,333,Champions
12416.0,656,1,202.56,1,1,1,111,Hibernating / lost
12417.0,3,20,6816.91,3,3,3,333,Champions
